"Action","Action"
"Add New Key","Add New Key"
"Automatic Translate","Automatic Translate"
"Available files","Available files"
"Back","Back"
"Back To Packages","Back To Packages"
"Based On","Based On"
"BING Settings","BING Settings"
"Change this value if you want to translate this key with this value over all modules.","Change this value if you want to translate this key with this value over all modules."
"Client Id","Client Id"
"Client Secret","Client Secret"
"Create New Key","Create New Key"
"Create New Package","Create New Package"
"Created At","Created At"
"Created At:","Created At:"
"Delete","Delete"
"Download Files","Download Files"
"Download Package files","Download Package files"
"Edit","Edit"
"Edit Inline Translation","Edit Inline Translation"
"Edit Key for %s","Edit Key for %s"
"Edit Key for Package %s","Edit Key for Package %s"
"Edit Package %s","Edit Package %s"
"Enable","Enable"
"Execute this action after you have saved your data.","Execute this action after you have saved your data."
"Existing Locales","Existing Locales"
"Filename","Filename"
"Generate Package","Generate Package"
"ID","ID"
"Import","Import"
"Import Existing Package","Import Existing Package"
"Import Package","Import Package"
"Import package","Import package"
"Inline Translate does not exist","Inline Translate does not exist"
"Inline Translation was successfully deleted","Inline Translation was successfully deleted"
"Inline Translation was successfully saved","Inline Translation was successfully saved"
"Key","Key"
"Key Translation","Key Translation"
"Key was successfully saved","Key was successfully saved"
"Keys","Keys"
"Language","Language"
"Last Update","Last Update"
"Last Update:","Last Update:"
"Locale","Locale"
"Locale Code:","Locale Code:"
"Manage","Manage"
"Mass Update","Mass Update"
"Module","Module"
"Modules list successfully updated.","Modules list successfully updated."
"New Package","New Package"
"Next","Next"
"Options","Options"
"Package","Package"
"Package %s Keys","Package %s Keys"
"Package Information","Package Information"
"Package was successfully generated","Package was successfully generated"
"Package:","Package:"
"Packages","Packages"
"Previous","Previous"
"Refresh Modules List","Refresh Modules List"
"Run Test","Run Test"
"Save","Save"
"Select All","Select All"
"Selected files will be downloaded","Selected files will be downloaded"
"Store View","Store View"
"String","String"
"Test Credentials","Test Credentials"
"Translate","Translate"
"Translation Inline","Translation Inline"
"Unselect All","Unselect All"
"Upload CSV files","Upload CSV files"
"Upload Files","Upload Files"
"Upload files","Upload files"
"Upload Package files","Upload Package files"
"Value","Value"
"View","View"
"Your API credentials are OK","Your API credentials are OK"
